CP ID,Microsoft Id,customerId,customername,skuName,subtotalCost,totalforcustomerCost,totalSale,margin
,,599bfea8-2fa7-4906-9c53-10c05a1230c9,M/s. Lite Auto Components Pvt Ltd,Microsoft 365 Business Basic,18360.0,21664.8,,-18360.0
,,a63b5174-5b82-48a1-a4a3-0105040a5d19,LEAD RETRIVAL SERVICE,Microsoft 365 Business Basic,18000.0,21240.0,,-18000.0
,,efdc9d5a-8669-4987-a9d1-b53a83c354a7,Eclature Technologies Pvt. Ltd,Microsoft 365 Business Basic,18000.0,21240.0,,-18000.0
,,0abc0323-f1a5-43b7-9f7e-c0838e52519e,Trade Events Group,Microsoft 365 Business Basic,18000.0,21240.0,,-18000.0
,,a819bf4f-008d-47b0-96bc-2e3c319711aa,"KB ONSPOTIT Solutions (OPC) Pvt Ltd,Sanghamithra Rural Financial Services",Microsoft 365 Business Basic,17677.4,20859.35,,-17677.4
,,3ec79a62-de7f-4c66-918f-7a47dcf25975,PeopleHum,Microsoft 365 Business Basic,17600.0,20768.0,,-17600.0
,,9c8a0091-c084-4228-beea-c9c68ba9f374,Lite Magnesium Produucts  Pvt Ltd.,Microsoft 365 Business Standard,17400.0,20532.0,,-17400.0
,,0cee7365-f06b-4b17-b738-1fa7a06abdd5,Stargatefitout,Microsoft 365 Apps for business,16992.0,20050.56,,-16992.0
,,9c8a0091-c084-4228-beea-c9c68ba9f374,Lite Magnesium Produucts  Pvt Ltd.,Microsoft 365 Business Basic,16200.0,19116.0,,-16200.0
,,4fbbaafa-658c-4d28-9bef-d371b5e79dc7,POLYMATECH ELECTRONICS PRIVATE LIMITED,Microsoft 365 Business Basic,16200.0,19116.0,,-16200.0
,,7b85e481-af4f-48eb-9a86-905035ac4315,FAST FOODS-FOOD AS THERAPY,Microsoft 365 Business Basic,16000.0,18880.0,,-16000.0
,,9e6d2ac1-9fcf-4c9c-b198-58c0d54f6619,theoneaccountant.com,Microsoft 365 Business Basic,15922.16,18788.17,,-15922.16
,,627ecd83-b17d-4a79-9023-0ad7aa9b7e1d,Crown Magnesium,Microsoft 365 Business Basic,15120.0,17841.6,,-15120.0
,,480fca7d-8a76-475e-a12c-a1cb37b3cc65,95 Techno,Microsoft 365 Business Basic,15042.25,17749.85,,-15042.25
,,0ddd8c10-6e8e-4d84-a05f-867fd59d328b,Techsophy Information Solutions Pvt Ltd,Microsoft 365 Business Standard,14084.27,16619.44,,-14084.27
,,bf69e7f5-a820-465b-9f07-7bccda1d4de7,TechRobots Inc,Microsoft 365 Business Basic,13872.0,16368.96,,-13872.0
,,5b5a5b2d-d100-4afa-819e-d628f9fe687d,PURVIEW INDIA CONSULTING AND SERVICES LLP,Microsoft 365 Business Basic,13534.85,15971.1,,-13534.85
,,b9f919c1-3294-43ab-877d-630d590b0585,Mount Meru India Private Limited,Microsoft 365 Business Basic,13500.0,15930.0,,-13500.0
,,8e59d624-891d-4348-b8b8-7e61012ff967,ASLF Law Offices,Office 365 E3,13044.8,15392.84,,-13044.8
,,16ffbc25-5f01-46f9-87e2-cd341505ca8d,BodhtreeUSA,Project Plan 3,12884.13,15203.27,,-12884.13
,,b1a8bd4e-2a92-43e2-8d42-cab5832ff379,PANJI ENGINEERING PRIVATE LIMITED,Microsoft 365 Business Basic,12298.05,14511.7,,-12298.05
,,44d0ecc3-9123-4321-ad8a-cdd4d4a9941c,PILOG India Private Limited,Project Plan 3,12096.0,14273.28,,-12096.0
,,7c3142f9-6d4f-4082-b1ce-c192ef463527,Law Assist,Microsoft 365 Business Basic,12011.6,14173.68,,-12011.6
,,b9f919c1-3294-43ab-877d-630d590b0585,Mount Meru India Private Limited,Office 365 E3,11916.0,14060.88,,-11916.0
,,d66e5f65-e993-4d4e-8720-1af3a3852852,Innoworx Technology Services LLC,Microsoft 365 Business Basic,11880.0,14018.4,,-11880.0
,,6719248b-c471-4450-a388-9e47b6c987df,Enerfra Projects (India) Pvt Ltd,Microsoft 365 Business Standard,11832.0,13961.76,,-11832.0
,,a79ee615-e9bc-4b2f-8067-fd2574e45b48,ACRANNOLIFE GENOMICS PRIVATE LIMITED,Microsoft 365 Apps for business,11800.0,13924.0,,-11800.0
,,f1a92fc5-45bb-4255-9528-6e87b3aff881,MERABT TECHNOLOGIES PRIVATE LIMITED,Microsoft 365 Business Basic,11560.0,13640.8,,-11560.0
,,31c37d47-7603-4f19-b5a1-8e0c70277a9d,koide india pvt ltd,Microsoft 365 Business Basic,11400.0,13452.0,,-11400.0
,,e0ddfc04-1a1b-49a8-b49b-1219cbce3a12,Mount Meru India Private Limited,Microsoft 365 Business Basic,11202.91,13219.32,,-11202.91
,,5366b679-3862-41b8-953c-530969491bc3,D2K Technologies India Pvt. Ltd.,Business Premium - India & APAC Emerging Markets Promo,11113.52,13113.98,,-11113.52
,,de2b920c-d30b-4442-99dc-bfb0d1b6e5bc,Exprs Techno Logistics Pvt. Ltd.,Microsoft 365 Business Standard,10808.0,12753.44,,-10808.0
,,ed2e5451-6171-452f-9ae4-5d4e6cc307f8,95 Techno,Microsoft 365 Business Basic,10800.0,12744.0,,-10800.0
,,7c51d221-e93b-4397-b4c7-775faf9f6d10,Winfo Solutions,Microsoft 365 Apps for business,10800.0,12744.0,,-10800.0
,,01554814-507b-4f2a-b5e5-0363720b4a1d,95 Techno,Microsoft 365 Business Basic,10800.0,12744.0,,-10800.0
,,d30bfb59-3fb5-42b7-9a84-1046027e89f5,Unisis Systems And Solutions (India) Pvt Ltd ,Exchange Online (Plan 2),10472.0,12356.96,,-10472.0
,,9eb99353-b469-4b4e-833a-f074cd8a7fbc,Go Digital Path,Microsoft 365 Apps for business,10440.0,12319.2,,-10440.0
,,43cf840d-aa65-47a5-a37a-ffc5a5e55ea7,OnezeroOne Technologies (OPC) Private limited,Microsoft 365 Business Basic,10308.0,12163.44,,-10308.0
,,16ffbc25-5f01-46f9-87e2-cd341505ca8d,BodhtreeUSA,Exchange Online (Plan 2),10080.0,11894.4,,-10080.0
,,c1f055bd-b74c-446e-8a60-058a1dc5128b,CHN TECHNOLOGIES,Microsoft 365 Business Basic,9720.0,11469.6,,-9720.0
,,de39d157-a6d8-472f-bc7e-4816115dd0eb,atlanticpnf.com,Microsoft 365 Business Basic,9583.33,11308.33,,-9583.33
,,70e2d0ae-cdf3-49d1-bd4f-9f515ea121f4,Asset Online Pvt Limited,Microsoft 365 Apps for business,9440.0,11139.2,,-9440.0
,,a755d5a3-cce3-4542-96a4-7553d37b9795,Coffor Construction Technology Pvt. Ltd.,Project Plan 1,9216.0,10874.88,,-9216.0
,,3c16e140-8ac7-4259-929c-7814b3329dee,New India Finvest Pvt. Ltd,Microsoft 365 Business Basic,8700.0,10266.0,,-8700.0
