customerId,customerName,skuName,invoiceMonth,total
7be66c91-cab4-442a-8f0f-4b0f91b44c7c,Mirafra Software Technologies Pvt Ltd,Microsoft 365 Apps for business,2022-04-01,2052.0
80e86e1a-8c26-499a-b1e1-41fc1a7cc7e2,DYNABLOCKS,Microsoft 365 Business Standard,2022-04-01,2660.0
86618d83-832a-4160-a66b-b860822c7e15,Vimbri Media Pvt. Ltd,Microsoft 365 Business Standard,2022-04-01,2527.0
86618d83-832a-4160-a66b-b860822c7e15,Vimbri Media Pvt. Ltd,Office 365 E3,2022-04-01,1257.8
89bd71aa-1534-469d-a7ce-887df7a3487a,INSOFE Education Pvt.Ltd.,Microsoft 365 Business Standard,2022-04-01,505.4
8a4bcfb7-96f0-45e5-a8f4-079121f7e4ba,Brio demo for E1 promo,Exchange Online Archiving for Exchange Online,2022-04-01,0.0
8a4bcfb7-96f0-45e5-a8f4-079121f7e4ba,Brio demo for E1 promo,Microsoft 365 Business Basic,2022-04-01,288.0
8a4bcfb7-96f0-45e5-a8f4-079121f7e4ba,Brio demo for E1 promo,Microsoft Teams Essentials (AAD Identity),2022-04-01,0.0
8e798093-a1fa-454c-b6d1-12e4b18168b3,Bodhtree Consulting Limited,Exchange Online (Plan 2),2022-04-01,4600.0
8e798093-a1fa-454c-b6d1-12e4b18168b3,Bodhtree Consulting Limited,Microsoft 365 Business Basic,2022-04-01,25920.0
8f2fbb67-ff2a-40b0-8c63-cd3115270d57,Ub Group,Microsoft 365 Business Basic,2022-04-01,950.0
8f2fbb67-ff2a-40b0-8c63-cd3115270d57,Ub Group,Microsoft 365 Business Standard,2022-04-01,505.4
977f7804-ed94-4d57-9e3e-9d7863242dc9,Gati Poc,Microsoft Teams Essentials (AAD Identity),2022-04-01,2000.0
a0c1b489-1e25-49a7-871a-8ef252117fe8,RAV Industries,Microsoft 365 Business Basic,2022-04-01,285.0
a21fb5ca-d2bd-4ebb-b624-dc91a41aec88,Goldstone Technologies Limited,Microsoft 365 Business Basic,2022-04-01,19000.0
