,Service Name,SKU Name,SKU ID,Date Added
4112,Silo for Research (8E47-5973-FFFA),Deprecated SfR - Custom Tier 1 OSINT Academy,61FD-72C2-F1C9,"July 23, 2020"
4113,Silo for Research (8E47-5973-FFFA),Deprecated SfR - Custom Tier 2 Additional 1 GB Storage,7720-ACCF-245B,"July 23, 2020"
4114,Silo for Research (8E47-5973-FFFA),Deprecated SfR - Custom Tier 2 Additional Users,1EC0-0EA8-35B1,"July 23, 2020"
4115,Silo for Research (8E47-5973-FFFA),Deprecated SfR - Custom Tier 2 OSINT Academy,DFAE-272E-E26C,"July 23, 2020"
4116,Silo for Research (8E47-5973-FFFA),Deprecated SfR - Custom Tier 3 Additional 1 GB Storage,E231-5058-16B2,"July 23, 2020"
4117,Silo for Research (8E47-5973-FFFA),Deprecated SfR - Custom Tier 3 Additional Users,6C45-FF61-317F,"July 23, 2020"
4118,Silo for Research (8E47-5973-FFFA),Deprecated SfR - Custom Tier 3 OSINT Academy,7709-D55F-6E99,"July 23, 2020"
4119,Silo for Research (8E47-5973-FFFA),Deprecated Starter Pack Additional 1 GB Storage,E64B-36E7-6197,"June 26, 2020"
4120,Silo for Research (8E47-5973-FFFA),Deprecated Starter Pack Additional Users,3AEF-A866-0644,"June 26, 2020"
4121,Silo for Research (8E47-5973-FFFA),Deprecated Starter Pack OSINT Academy,0704-033B-2A29,"June 26, 2020"
4122,Silver Peak Unity EdgeConnect (ABAE-F726-7D23),Licensing Fee for Standard Plan,9E6E-5EF3-E096,"June 26, 2020"
4123,Silver Peak Unity Orchestrator (3F0D-AED6-1E33),Licensing Fee for Standard Plan,55A6-313B-9851,"June 26, 2020"
4124,SilverStripe packaged by Bitnami (7294-7775-77D2),Licensing Fee for Standard Mode,A00F-0040-EB8A,"June 26, 2020"
4125,Silverstrip on Ubuntu 16.04 lts and GCP (61EE-F60E-8BBD),Licensing Fee for Standard Plan on VM with 0 to 1 VCPU,6833-0C0C-F9CB,"July 31, 2020"
4126,Silverstrip on Ubuntu 16.04 lts and GCP (61EE-F60E-8BBD),Licensing Fee for Standard Plan on VM with 12 VCPU or more,6273-3F48-C2B1,"July 31, 2020"
4127,Silverstrip on Ubuntu 16.04 lts and GCP (61EE-F60E-8BBD),Licensing Fee for Standard Plan on VM with 2 to 3 VCPU,BABE-8D4B-C3E5,"July 31, 2020"
4128,Silverstrip on Ubuntu 16.04 lts and GCP (61EE-F60E-8BBD),Licensing Fee for Standard Plan on VM with 4 to 7 VCPU,D4EA-0815-969C,"July 31, 2020"
4129,Silverstrip on Ubuntu 16.04 lts and GCP (61EE-F60E-8BBD),Licensing Fee for Standard Plan on VM with 8 to 11 VCPU,D8B9-B860-65A6,"July 31, 2020"
4130,Simple Machines Forum packaged by Bitnami (6547-23E5-27C2),Licensing Fee for Standard Mode,65E2-E4A2-D596,"June 26, 2020"
4131,Simple pre-configured Debian VM (24B7-B9B6-2270),Licensing Fee for Standard Plan,7F17-7D85-F981,"July 29, 2020"
4132,Single node file server (002A-FAF7-9793),Licensing Fee for Standard Plan,8F23-5CCC-F9D5,"July 29, 2020"
4133,Singularity-community-31 (1E68-F58E-696F),Licensing Fee for Standard Plan,2207-018B-F72C,"June 26, 2020"
4134,SingularityPRO-25 (A9C9-21F9-3BDB),Licensing Fee for Standard Plan,78E9-7B0F-C900,"June 26, 2020"
4135,Skaffolder Enterprise (B122-05DF-82C7),Licensing Fee for Standard Plan,55B6-BC65-A8CE,"June 26, 2020"
4136,SlamData REFORM (6426-5E03-C224),Licensing Fee for Standard Plan,385D-77BF-29E2,"August 1, 2020"
4137,Smallstep ACME Registration Authority for CAS (FEF7-5B1A-A91C),Licensing Fee for Standard Plan on VM with 0 VCPU or more,DEAE-2AEB-9507,"October 24, 2020"
4138,Snapt Aria (91FD-2945-F609),Licensing Fee for Standard Plan,A78F-CCE2-6101,"June 26, 2020"
4139,Solr (7EDC-06E7-3418),Licensing Fee for Standard Plan,3148-9A18-BDE1,"July 29, 2020"
4140,SonarQube (CF4B-D88B-670F),Licensing Fee for Standard Plan,589B-CC0D-F423,"July 31, 2020"
4141,Speech-to-Text On-Prem (B3C4-4767-F8EF),Standard Plan OnPrem Speech-to-Text Audio Length,1E28-79F9-025F,"June 26, 2020"
4142,SpendAi (A9A5-163C-8ED5),Licensing Fee for Standard Plan,1A97-AA9C-799A,"September 22, 2020"
4143,Spotinst (925E-85C7-9463),Customer Savings,DC8A-C308-8EC7,"June 26, 2020"
4144,Spree (68C4-B085-ABBF),Licensing Fee for Standard Plan,3E42-2263-1E21,"June 26, 2020"
4145,Squid Proxy Cache Server on CentOS 9 (5C21-7861-82A9),Licensing Fee for Standard Plan,C40B-FE2E-995F,"September 27, 2020"
4146,StackRox Security Platform (4F91-9FCF-8CA1),Private Offer Large (1 year),C954-B794-6D8C,"December 18, 2020"
